MoleculeType	Identifier	MoleculeName	
Proteins	P80511	UniProt:P80511 S100A12	
Proteins	P04271	UniProt:P04271 S100B	
Proteins	P09429	UniProt:P09429 HMGB1	
Proteins	P0DJI8	UniProt:P0DJI8 SAA1	
Proteins	Q15109	UniProt:Q15109 AGER	
Proteins	Q13501	UniProt:Q13501 SQSTM1	
Proteins	Q99759	UniProt:Q99759 MAP3K3	
Proteins	P08311	UniProt:P08311 CTSG	
Proteins	P29466	UniProt:P29466 CASP1	
Proteins	P57764	UniProt:P57764 GSDMD	
Proteins	Q9NZH7	UniProt:Q9NZH7 IL36B	
Proteins	Q9UHA7	UniProt:Q9UHA7 IL36A	
Proteins	Q9NZH8	UniProt:Q9NZH8 IL36G	
Proteins	Q9UBH0	UniProt:Q9UBH0 IL36RN	
Proteins	Q9UHD2	UniProt:Q9UHD2 TBK1	
Proteins	Q6IA17	UniProt:Q6IA17 SIGIRR	
Proteins	P84022	UniProt:P84022 SMAD3	
Proteins	Q05209	UniProt:Q05209 PTPN12	
Proteins	P43378	UniProt:P43378 PTPN9	
Proteins	P54829	UniProt:P54829 PTPN5	
Proteins	Q99952	UniProt:Q99952 PTPN18	
Proteins	P17706	UniProt:P17706 PTPN2	
Proteins	Q4JDL3	UniProt:Q4JDL3 PTPN20	
Proteins	P29074	UniProt:P29074 PTPN4	
Proteins	Q9H3S7	UniProt:Q9H3S7 PTPN23	
Proteins	P35236	UniProt:P35236 PTPN7	
Proteins	Q12923	UniProt:Q12923 PTPN13	
Proteins	Q15678	UniProt:Q15678 PTPN14	
Proteins	O95760	UniProt:O95760 IL33	
Proteins	Q01638	UniProt:Q01638 IL1RL1	
Proteins	Q01638-2	UniProt:Q01638-2 IL1RL1	
Proteins	P42226	UniProt:P42226 STAT6	
Proteins	P24394	UniProt:P24394 IL4R	
Proteins	Q15306	UniProt:Q15306 IRF4	
Proteins	P07900	UniProt:P07900 HSP90AA1	
Proteins	P38936	UniProt:P38936 CDKN1A	
Proteins	P08670	UniProt:P08670 VIM	
Proteins	Q07820	UniProt:Q07820 MCL1	
Proteins	Q7L0Q8	UniProt:Q7L0Q8 RHOU	
Proteins	P35228	UniProt:P35228 NOS2	
Proteins	Q16658	UniProt:Q16658 FSCN1	
Proteins	P31749	UniProt:P31749 AKT1	
Proteins	O14543	UniProt:O14543 SOCS3	
Proteins	P78552	UniProt:P78552 IL13RA1	
Proteins	O15524	UniProt:O15524 SOCS1	
Proteins	O75159	UniProt:O75159 SOCS5	
Proteins	P16671	UniProt:P16671 CD36	
Proteins	P10145	UniProt:P10145 CXCL8	
Proteins	P13500	UniProt:P13500 CCL2	
Proteins	P05231	UniProt:P05231 IL6	
Proteins	P01375	UniProt:P01375 TNF	
Proteins	P09601	UniProt:P09601 HMOX1	
Proteins	Q16520	UniProt:Q16520 BATF	
Proteins	P35398	UniProt:P35398 RORA	
Proteins	Q15672	UniProt:Q15672 TWIST1	
Proteins	P49716	UniProt:P49716 CEBPD	
Proteins	Q16665	UniProt:Q16665 HIF1A	
Proteins	P11309	UniProt:P11309 PIM1	
Proteins	Q12778	UniProt:Q12778 FOXO1	
Proteins	P51449	UniProt:P51449 RORC	
Proteins	P48431	UniProt:P48431 SOX2	
Proteins	P24385	UniProt:P24385 CCND1	
Proteins	O43524	UniProt:O43524 FOXO3	
Proteins	P17275	UniProt:P17275 JUNB	
Proteins	P37275	UniProt:P37275 ZEB1	
Proteins	Q9H9S0	UniProt:Q9H9S0 NANOG	
Proteins	P41182	UniProt:P41182 BCL6	
Proteins	O15392	UniProt:O15392 BIRC5	
Proteins	P01106	UniProt:P01106 MYC	
Proteins	P14859	UniProt:P14859 POU2F1	
Proteins	P16050	UniProt:P16050 ALOX15	
Proteins	P11142	UniProt:P11142 HSPA8	
Proteins	P14625	UniProt:P14625 HSP90B1	
Proteins	P21397	UniProt:P21397 MAOA	
Proteins	Q99608	UniProt:Q99608 NDN	
Proteins	P10415	UniProt:P10415 BCL2	
Proteins	Q07817	UniProt:Q07817 BCL2L1	
Proteins	P35354	UniProt:P35354 PTGS2	
Proteins	P05362	UniProt:P05362 ICAM1	
Proteins	P08887	UniProt:P08887 IL6R	
Proteins	P20333	UniProt:P20333 TNFRSF1B	
Proteins	P21453	UniProt:P21453 S1PR1	
Proteins	P15941	UniProt:P15941 MUC1	
Proteins	P06734	UniProt:P06734 FCER2	
Proteins	P11215	UniProt:P11215 ITGAM	
Proteins	P05107	UniProt:P05107 ITGB2	
Proteins	P19320	UniProt:P19320 VCAM1	
Proteins	P05556	UniProt:P05556 ITGB1	
Proteins	P20702	UniProt:P20702 ITGAX	
Proteins	P01854	UniProt:P01854 IGHE	
Proteins	P01861	UniProt:P01861 IGHG4	
Proteins	P01857	UniProt:P01857 IGHG1	
Proteins	P51671	UniProt:P51671 CCL11	
Proteins	Q14627	UniProt:Q14627 IL13RA2	
Proteins	P48023	UniProt:P48023 FASLG	
Proteins	P23771	UniProt:P23771 GATA3	
Proteins	P15018	UniProt:P15018 LIF	
Proteins	P01137	UniProt:P01137 TGFB1	
Proteins	P14780	UniProt:P14780 MMP9	
Proteins	P09038	UniProt:P09038 FGF2	
Proteins	P01033	UniProt:P01033 TIMP1	
Proteins	P15692	UniProt:P15692 VEGFA	
Proteins	P13725	UniProt:P13725 OSM	
Proteins	P08254	UniProt:P08254 MMP3	
Proteins	P80188	UniProt:P80188 LCN2	
