Protein,comp1,comp2
P04004,0,0.022056630705542868
O95897,0,0
P59901,0,0
O00300,0,0
Q9NWH9,0,0
P30048,0,0
P20333,0,0
Q14118,0,0
P07492.1,0,0
Q04721,0,0
P35222,0,0
P35222.1,0,0
Q9BXY4,0,0
P37840,0,0
P08294,0,0
O60930,0,0
Q12805,0,0
P41159.1,0,0
Q14145,0,0
P01024.4,0,0
Q6E0U4,0,0
P09668,0,0
O95866,0,0
Q504Y2,0,0
A6NI73,0,0
P02786,0.006503854081789295,0
Q13145.2,0,0
P50591,0,0
O75121,0,0
Q8IUL8,0,0
P27986,0,0
Q9NXS2,0,0
P09874.1,0,0
Q92859,0,0
Q13586,0,0
Q14289.1,0,0
Q8N428,0.09577362136736825,0
O75354,0,0
Q06413,-0.043731858417637805,0
Q6UVK1,0,0
P09919.1,0,0
Q96DZ1,0,0
Q6P179,0,0
Q9ULB1,0,0
P49746,0.21124499267514132,0
Q9UHN6,0,0
Q86U17,0,0
O95631,0,0
Q16186,0,0
Q5VZ66,0,0
P55854.1,0,0
P50461,-0.01631381022835738,0
P22894,-0.01791033043574385,0
P58499.1,0,0
P04155,0,0
Q07325,0,0
P47929,0,0
O00182,0.007425839956822501,0
P37802,0,0
P01189.1,0,-0.044074789103089755
P36955.1,0,0
O95954,0,0
O15031.1,0,0
P16471,0,0
Q71RG4,0,0
P11117,0,0
Q9P0M4,0,0
O75509,0,0
P48061.2,0,0
P16562,0,0
P16070,0,0
Q9Y680,0,0
P55001,0.007824949772650927,0
P23468,0,0
O75144,0,0
P19823,0,0
Q30KP8,0,0
P14784,0,0
Q5T1H1,0,0
P21583,0,0
Q8N539,0,0
P10253,0,0
Q96PE7,0,0
Q15661,0,0
P43235,0,0
O14519,0,0
P07911,0,0
Q969J5,0,0
P25445,0,0
P51159,0,0
O95831,0,0
Q9NX94,0,0
Q96PZ7,0,0
P16083,0,0
Q8NFT8,0,0
Q4KMG9,0,0
Q9NVH1,0,0
Q9NPR2,0,0
Q9UPQ9,0,0
Q07960,0,0
P00374,0,0
P49789,0,0
P15559,0,0
P35222.2,0,0
P35609,-0.3268014985744974,0
Q99497.2,0,0
P51946,0,0
P15121.1,0,0
P61586,0,0
P21673,0,0
P19838,0,0
P26232,0,0
P11474,0,0
Q96FV9,0,0
P46109,0,0
Q13426,0,0
Q8TED9,0,0
O95271,0,0
O75899.1,0,0
Q7Z408,0,0
