"contrast","estimate","SE","df","t.ratio","p.value","Protein","p_adj_FDR"
"draw 1 - draw 2",-14.5151315789473,20.4448060753728,82,-0.709966703789468,0.953669134328077,"PIAS4",1
"draw 1 - draw 3",3.57500000000004,21.4879790809756,82,0.166372090485009,0.99982457301327,"PIAS4",1
"draw 1 - draw 4",32.8308333333334,21.9135249283136,82,1.49819955669998,0.566610294800743,"PIAS4",1
"draw 1 - draw 5",26.2375,22.927397158069,82,1.14437325000784,0.782456123958388,"PIAS4",1
"draw 2 - draw 3",18.0901315789474,22.5906339985511,82,0.800780163146712,0.929646128304104,"PIAS4",1
"draw 2 - draw 4",47.3459649122807,22.9957838365182,82,2.05889763309975,0.247967660040211,"PIAS4",1
"draw 2 - draw 5",40.7526315789474,23.9639111982138,82,1.70058348329988,0.439316809505637,"PIAS4",1
"draw 3 - draw 4",29.2558333333333,23.9280008312586,82,1.22266099619633,0.738256179346134,"PIAS4",1
"draw 3 - draw 5",22.6625,24.8598509537108,82,0.911610453425391,0.891670333549903,"PIAS4",1
"draw 4 - draw 5",-6.59333333333336,25.2285853594706,82,-0.261343759049029,0.998952808634858,"PIAS4",1
"draw 1 - draw 2",-443.585964912281,241.411316071625,82,-1.83746964363788,0.3594917900155,"IL.10.Ra",1
"draw 1 - draw 3",-344.008333333334,253.729054241629,82,-1.35580978048233,0.65733106171323,"IL.10.Ra",1
"draw 1 - draw 4",-304.080000000001,258.753879748702,82,-1.17517078505381,0.765436013294853,"IL.10.Ra",1
"draw 1 - draw 5",-680.110256410257,270.725635724834,82,-2.51217530467459,0.0978395466133156,"IL.10.Ra",1
"draw 2 - draw 3",99.5776315789476,266.749152052456,82,0.373300648990875,0.995788367086401,"IL.10.Ra",1
"draw 2 - draw 4",139.505964912281,271.533142432666,82,0.513771408022043,0.985767305454573,"IL.10.Ra",1
"draw 2 - draw 5",-236.524291497976,282.964745141455,82,-0.835879011640609,0.918656994641867,"IL.10.Ra",1
"draw 3 - draw 4",39.9283333333332,282.540717204222,82,0.141318864510678,0.999908333620013,"IL.10.Ra",1
"draw 3 - draw 5",-336.101923076924,293.543959964919,82,-1.14497986304024,0.782125829932493,"IL.10.Ra",1
"draw 4 - draw 5",-376.030256410257,297.897958620968,82,-1.26227872843097,0.714817615960118,"IL.10.Ra",1
"draw 1 - draw 2",234.851754385965,278.565458868646,82,0.843075646707177,0.916284859672183,"IRF1",1
"draw 1 - draw 3",297.689583333334,292.778944969409,82,1.0167725119866,0.846955024971694,"IRF1",1
"draw 1 - draw 4",347.33,298.577110713625,82,1.16328408152203,0.772064904172566,"IRF1",1
"draw 1 - draw 5",347.767948717949,312.391366611908,82,1.11324442954274,0.799124522206538,"IRF1",1
"draw 2 - draw 3",62.8378289473685,307.802886598191,82,0.204149576509325,0.999604995098492,"IRF1",1
"draw 2 - draw 4",112.478245614035,313.323151750513,82,0.358984789300209,0.996379894657291,"IRF1",1
"draw 2 - draw 5",112.916194331984,326.514122687572,82,0.345823308966116,0.996868273469077,"IRF1",1
"draw 3 - draw 4",49.6404166666668,326.024835197529,82,0.15225961738955,0.999876670474808,"IRF1",1
"draw 3 - draw 5",50.0783653846157,338.721519920326,82,0.147845242889779,0.999890291933026,"IRF1",1
"draw 4 - draw 5",0.437948717948931,343.745615945617,82,0.00127404888275933,0.999999999999458,"IRF1",1
"draw 1 - draw 2",-772.095175438597,880.762217354074,82,-0.876621590056478,0.904693370000524,"STAT3",1
"draw 1 - draw 3",-1395.55833333333,925.70210898774,82,-1.5075674126522,0.560603994142319,"STAT3",1
"draw 1 - draw 4",-1094.07166666667,944.034623500497,82,-1.15893171651886,0.774473553100153,"STAT3",1
"draw 1 - draw 5",251.55705128205,987.712237751321,82,0.254686579417866,0.999053920593731,"STAT3",1
"draw 2 - draw 3",-623.463157894737,973.204481306644,82,-0.640629148211137,0.967904653953247,"STAT3",1
"draw 2 - draw 4",-321.97649122807,990.658335764006,82,-0.325012650279432,0.997540169082922,"STAT3",1
"draw 2 - draw 5",1023.65222672065,1032.3652611623,82,0.991560124338314,0.858415804750949,"STAT3",1
"draw 3 - draw 4",301.486666666666,1030.81824260371,82,0.292473157930492,0.998371144997474,"STAT3",1
"draw 3 - draw 5",1647.11538461538,1070.96234458574,82,1.53797693536322,0.541134313310299,"STAT3",1
"draw 4 - draw 5",1345.62871794872,1086.84742227415,82,1.23810269074668,0.729197125903178,"STAT3",1
"draw 1 - draw 2",-74.938157894737,117.114110875124,82,-0.639873003643785,0.96804132725246,"c.Jun",1
