geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId
R-HSA-5668914	Diseases of metabolism	http://reactome.org/PathwayBrowser/#/R-HSA-5668914	0.5638747207768355	1.558549467864646	0.02570093451939034	0.54496891996892	16	./Project_GSEAd12_d35_GSEA/R_HSA_5668914.png	6	6888;95;2990;2799;5443;54658
R-HSA-8978868	Fatty acid metabolism	http://reactome.org/PathwayBrowser/#/R-HSA-8978868	0.5385265527221328	1.4081978060701668	0.10822510799085475	0.5526557877218935	13	./Project_GSEAd12_d35_GSEA/R_HSA_8978868.png	6	2879;3248;5743;5445;5444;2876
R-HSA-168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta	http://reactome.org/PathwayBrowser/#/R-HSA-168928	0.5298660014204698	1.586883150739119	0.028368794259175427	0.5555533297720798	20	./Project_GSEAd12_d35_GSEA/R_HSA_168928.png	9	6288;6283;3146;841;29110;1387;3551;843;7323
R-HSA-8957275	Post-translational protein phosphorylation	http://reactome.org/PathwayBrowser/#/R-HSA-8957275	0.4392655743671503	1.491456565680912	0.03990610319270868	0.5650962373130343	37	./Project_GSEAd12_d35_GSEA/R_HSA_8957275.png	16	3569;5624;7018;1114;462;213;1435;7076;3484;3827;56975;348;8404;6696;56955;29106
R-HSA-168898	Toll-like Receptor Cascades	http://reactome.org/PathwayBrowser/#/R-HSA-168898	0.49362334069237596	1.6407477556583612	0.00898876402474435	0.5692508012820513	33	./Project_GSEAd12_d35_GSEA/R_HSA_168898.png	15	6288;3929;6280;4208;6283;3146;671;841;29110;3551;9450;7097;466;7323;1432
R-HSA-8950505	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	http://reactome.org/PathwayBrowser/#/R-HSA-8950505	0.5571037250292481	1.5666828040054817	0.026905829536085585	0.5708219818376068	16	./Project_GSEAd12_d35_GSEA/R_HSA_8950505.png	8	6888;302;3181;6647;4001;759;3458;3586
R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	http://reactome.org/PathwayBrowser/#/R-HSA-6785807	0.34209007595883373	1.317515547104305	0.07746478855055214	0.5765326188568377	61	./Project_GSEAd12_d35_GSEA/R_HSA_6785807.png	16	6288;3082;3569;3312;3929;3606;3162;4318;3934;7076;301;4314;5443;596;5743;3576
R-HSA-1430728	Metabolism	http://reactome.org/PathwayBrowser/#/R-HSA-1430728	0.32021026411203596	1.4964323883884199	0.00282485874908232	0.5862517806267806	218	./Project_GSEAd12_d35_GSEA/R_HSA_1430728.png	46	1158;761;2027;2819;6888;2170;183;3939;231;51129;10082;95;3162;4190;5320;1634;7360;3099;2990;2799;2184;1644;213;55163;957;2879;4758;3248;7086;5687;2778;5443;348;3163;1719;4023;5720;226;5743;7167;51733;3945;4598;10327;5445;1387
R-HSA-3000171	Non-integrin membrane-ECM interactions	http://reactome.org/PathwayBrowser/#/R-HSA-3000171	-0.6553678739736208	-1.7544715500348327	0.0017825311911184828	0.5904338327091136	16	./Project_GSEAd12_d35_GSEA/R_HSA_3000171.png	11	2247;7057;3693;2335;7040;5154;4921;5155;1281;1277;1300
R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	http://reactome.org/PathwayBrowser/#/R-HSA-166016	0.5076601292953009	1.6087347475932556	0.009029345352078227	0.6086166437728938	28	./Project_GSEAd12_d35_GSEA/R_HSA_166016.png	14	6288;3929;4208;6283;3146;671;841;29110;3551;9450;7097;466;7323;1432
R-HSA-556833	Metabolism of lipids	http://reactome.org/PathwayBrowser/#/R-HSA-556833	0.34320545129167607	1.2949266281580567	0.09367681476890675	0.6130481786731786	61	./Project_GSEAd12_d35_GSEA/R_HSA_556833.png	15	2819;2170;183;231;51129;5320;213;2879;4758;3248;5443;5743;4598;5445;1387
R-HSA-70171	Glycolysis	http://reactome.org/PathwayBrowser/#/R-HSA-70171	0.5779188110770664	1.5004603632731885	0.07488986767645403	0.6137100312881563	12	./Project_GSEAd12_d35_GSEA/R_HSA_70171.png	4	2027;3099;226;7167
R-HSA-449147	Signaling by Interleukins	http://reactome.org/PathwayBrowser/#/R-HSA-449147	0.28223437057094775	1.2973410998211539	0.0251256280775738	0.6209847951844903	174	./Project_GSEAd12_d35_GSEA/R_HSA_449147.png	35	6288;9173;3082;3569;6888;5657;3312;3929;302;3606;4208;3162;6283;3557;3181;4318;3934;3589;3146;6647;1435;7076;6364;301;5687;4314;3575;5443;5720;596;4001;5743;85480;3576;3568
R-HSA-162587	HIV Life Cycle	http://reactome.org/PathwayBrowser/#/R-HSA-162587	0.6145447779583552	1.5871798982731002	0.022321428521603955	0.6240910456730769	13	./Project_GSEAd12_d35_GSEA/R_HSA_162587.png	8	11168;902;7518;6908;5478;7314;51652;9397
R-HSA-70326	Glucose metabolism	http://reactome.org/PathwayBrowser/#/R-HSA-70326	0.6199416623694441	1.650604839247906	0.019565217348771268	0.6304059829059829	13	./Project_GSEAd12_d35_GSEA/R_HSA_70326.png	5	2027;4190;3099;226;7167
R-HSA-418346	Platelet homeostasis	http://reactome.org/PathwayBrowser/#/R-HSA-418346	0.4909928920101063	1.2655651854384358	0.18925233600641977	0.6436322754087699	12	./Project_GSEAd12_d35_GSEA/R_HSA_418346.png	9	2778;5592;4846;1432;6786;5777;8654;5175;338
R-HSA-168249	Innate Immune System	http://reactome.org/PathwayBrowser/#/R-HSA-168249	0.32320114883593754	1.5031438678830875	0	0.6501340606508876	213	./Project_GSEAd12_d35_GSEA/R_HSA_168249.png	64	6288;1991;5657;3312;3929;12;302;6280;4208;4317;6283;2512;5320;4318;653361;3934;716;2990;2799;5580;1401;9051;2209;2495;3146;23406;1509;727;2219;64581;4758;671;3845;5687;3163;5720;596;226;1992;566;841;29110;10549;7133;629;1387;3551;116844;2147;7409;5645;383;4353;9588;9450;7097;917;466;5265;30835;4846;5692;843;847
R-HSA-112315	Transmission across Chemical Synapses	http://reactome.org/PathwayBrowser/#/R-HSA-112315	0.40953262803024265	1.272587366715631	0.13181818151859503	0.6519300577894328	24	./Project_GSEAd12_d35_GSEA/R_HSA_112315.png	2	88;3312
R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	http://reactome.org/PathwayBrowser/#/R-HSA-2022090	-0.6050452808734827	-1.547950125498682	0.04238920993759304	0.7284808919406297	12	./Project_GSEAd12_d35_GSEA/R_HSA_2022090.png	9	4017;84695;649;80781;4316;5118;1281;1277;1300
R-HSA-8854691	Interleukin-20 family signaling	http://reactome.org/PathwayBrowser/#/R-HSA-8854691	-0.5970657304972283	-1.566264563576577	0.029143897943271588	0.7527403245942571	13	./Project_GSEAd12_d35_GSEA/R_HSA_8854691.png	5	3588;50616;6776;6777;116379
R-HSA-1474290	Collagen formation	http://reactome.org/PathwayBrowser/#/R-HSA-1474290	-0.5277879115756683	-1.4758170445273273	0.04896421836353255	0.8300503999630092	18	./Project_GSEAd12_d35_GSEA/R_HSA_1474290.png	8	649;80781;4316;5118;1281;1277;26577;1300
R-HSA-1474244	Extracellular matrix organization	http://reactome.org/PathwayBrowser/#/R-HSA-1474244	-0.37425711529807604	-1.4583213075125672	0.014084507017456853	0.8376622971285893	83	./Project_GSEAd12_d35_GSEA/R_HSA_1474244.png	33	4017;6678;1404;3693;84695;2335;960;7040;3684;4312;4313;7177;7412;649;652;5154;4921;80781;3818;5155;655;4316;2202;3791;3384;5118;1281;4321;5340;1277;4237;26577;1300
R-HSA-1566948	Elastic fibre formation	http://reactome.org/PathwayBrowser/#/R-HSA-1566948	-0.5645700227037765	-1.4780272613768706	0.0687732340729122	0.9232333281315024	14	./Project_GSEAd12_d35_GSEA/R_HSA_1566948.png	9	4017;3693;84695;2335;7040;652;655;2202;4237
R-HSA-5358346	Hedgehog ligand biogenesis	http://reactome.org/PathwayBrowser/#/R-HSA-5358346	-0.1577619436467692	-0.43467137052549887	0.9999999981060607	0.9979660840615897	16	./Project_GSEAd12_d35_GSEA/R_HSA_5358346.png	5	5689;5710;5686;5684;5698
R-HSA-5362768	Hh mutants that don't undergo autocatalytic processing are degraded by ERAD	http://reactome.org/PathwayBrowser/#/R-HSA-5362768	-0.1577619436467692	-0.43467137052549887	0.9999999981060607	0.9979660840615897	16	./Project_GSEAd12_d35_GSEA/R_HSA_5362768.png	5	5689;5710;5686;5684;5698
R-HSA-5387390	Hh mutants abrogate ligand secretion	http://reactome.org/PathwayBrowser/#/R-HSA-5387390	-0.1577619436467692	-0.43467137052549887	0.9999999981060607	0.9979660840615897	16	./Project_GSEAd12_d35_GSEA/R_HSA_5387390.png	5	5689;5710;5686;5684;5698
