ENTREZID,stat
7098,-0.797934622
5921,-0.805457836
1054,-0.80615107
7038,-0.809101624
4137,-0.811870773
2254,-0.820243067
115352,-0.828439768
6414,-0.828479049
3984,-0.828985235
5957,-0.83480182
5778,-0.853240577
51330,-0.855011826
126014,-0.858576057
1441,-0.858816547
969,-0.858900074
2875,-0.860332617
1969,-0.863236607
4684,-0.865507087
55748,-0.873130919
285704,-0.875419714
939,-0.884462867
1493,-0.885695427
389383,-0.886433989
56624,-0.899888961
3292,-0.904639036
1474,-0.912670798
9874,-0.915304972
9780,-0.916325796
23208,-0.920873899
55697,-0.920893226
2066,-0.929072252
28514,-0.940244763
145645,-0.946200005
6303,-0.954041247
6622,-0.955770533
7923,-0.956904175
355,-0.959513577
10524,-0.963728998
92737,-0.966599447
384,-0.967560724
9627,-0.970513311
5276,-0.973114493
79709,-0.98429385
916,-0.988176868
948,-0.995493721
6586,-1.009779884
10455,-1.015747801
6599,-1.017819086
4254,-1.022245125
8099,-1.027297567
3371,-1.042457047
9568,-1.045930873
57451,-1.059039453
3663,-1.060399459
5159,-1.076262802
90952,-1.081831609
4790,-1.086626795
2281,-1.089032136
3605,-1.093556654
23435,-1.099310936
6997,-1.100039956
51661,-1.100933592
57447,-1.108881188
6789,-1.110110408
3489,-1.115546028
4319,-1.117802255
6439,-1.11872105
8646,-1.121533459
9445,-1.122297563
5689,-1.123114313
1848,-1.127002276
219,-1.135187075
567,-1.135237285
150684,-1.135544085
4043,-1.13705495
7173,-1.137387277
153218,-1.141304847
51684,-1.157924296
1636,-1.164722535
327657,-1.164972491
5710,-1.166896349
79660,-1.177633687
2165,-1.179849286
2638,-1.180306553
114971,-1.186367704
7804,-1.187160475
59343,-1.187892336
1513,-1.188023702
325,-1.191216743
2169,-1.207495874
4780,-1.207601534
79007,-1.208533197
51738,-1.210161328
23586,-1.211562256
5468,-1.219048247
6362,-1.225443906
9455,-1.228652064
9317,-1.248290309
23286,-1.264485911
3627,-1.267617147
599,-1.27841156
2213,-1.281361863
1089,-1.294500073
79840,-1.303613055
3592,-1.308645636
6318,-1.311824743
2,-1.32121641
1118,-1.321462413
57633,-1.328786694
55120,-1.332494679
4607,-1.344277584
2247,-1.34483048
374383,-1.350935791
9308,-1.360014276
3273,-1.363298475
7398,-1.364299919
22871,-1.36632336
10653,-1.374584214
54,-1.382942284
5874,-1.402113744
4908,-1.403817537
53940,-1.406331965
2553,-1.406353785
2261,-1.407934509
5480,-1.408037918
2670,-1.409131312
284252,-1.409385286
2618,-1.419887103
133686,-1.421097161
284613,-1.423035187
1576,-1.426103403
2155,-1.42644036
10424,-1.431062931
51314,-1.434344176
5789,-1.438758472
200150,-1.43925095
8764,-1.451880934
27163,-1.458000539
1956,-1.470571712
3578,-1.471173054
673,-1.487937778
23308,-1.488270422
55284,-1.491571755
8743,-1.494393945
6504,-1.495447534
2919,-1.496016858
644168,-1.515959007
7057,-1.516149
3075,-1.52032856
5919,-1.524438386
2246,-1.528502857
356,-1.532441803
2719,-1.540845055
23654,-1.543098434
7099,-1.551832791
182,-1.556799376
8128,-1.558067106
202051,-1.561412381
604,-1.566208794
11314,-1.571445405
56616,-1.571937318
4121,-1.58005369
51384,-1.58387655
5618,-1.584308537
5054,-1.586765708
3425,-1.608646103
114784,-1.61144036
7049,-1.616851858
10901,-1.620377726
8224,-1.620720997
9402,-1.622094727
6402,-1.622823405
353376,-1.63363458
10605,-1.636604511
10500,-1.638381962
51557,-1.642128599
6750,-1.644592157
3880,-1.646190537
9079,-1.648519727
6272,-1.657721284
506,-1.662949419
3240,-1.666405155
8314,-1.672593792
346007,-1.679311667
6374,-1.680562223
