SeqId,UniProtID
10342-55,Q8N2W9
4961-17,P07355
3485-28,P61769
10714-7,P12821
7755-37,P18084
2869-68,Q05655
5093-47,Q9Y219
4535-50,Q10588
3412-7,P10415
4467-49,Q14515
7918-114,P04745
15417-3,P36952
20514-8,Q13145
3761-4,P35354
7628-40,Q96HD1
8320-5,Q9NWH9
24416-20,Q7KZF4
3312-64,P12314
15446-25,Q02297
3037-62,P01584
4866-59,Q16620
4959-2,O95994
21403-39,P49815
22063-20,Q96L46
2972-57,P18075
18931-40,O75094
23665-35,P17980
3497-13,P01563
5596-75,P06127
3234-23,Q76M96
21848-18,Q712K3
7803-4,O43916
4158-54,P00749
8086-49,Q9Y287
9197-4,O00182
5437-63,P05413
2706-69,P05543
13596-3,O00194
7849-3,Q16769
15515-2,P0DJI8
14051-54,Q99958
14101-2,P26992
5630-48,Q9UGN4
21308-44,Q9BTZ2
15606-19,P08727
13941-82,O95363
21981-2,P11215
4547-59,Q9NZU1
20926-31,P18846
2974-61,Q12860
35266-111,Q4KMQ2
2632-5,P42701
2665-26,Q02223
3310-62,P31994
21819-9,P18615
13085-18,P43220
14123-34,Q9H7M9
9343-16,P14784
9068-17,Q5VZ66
4149-8,P01127
5014-49,P16333
23524-2,Q96AB6
8242-9,P0C7M8
11300-32,Q99523
13720-95,P24158
16805-5,O76074
12812-25,P14621
19568-17,P40933
13097-11,Q92843
7196-21,P05000
15388-24,P08637
15426-5,Q99519
12676-1,Q9BY11
15635-4,Q9H3U7
7905-30,P00738
3461-58,Q96GW7
17710-40,Q16890
22783-40,P17947
13470-43,Q03431
5756-66,Q9BXP8
11164-7,Q9NT68
21359-17,Q16612
18340-2,P28070
6255-74,Q96SM3
22121-43,Q5T6F0
3508-78,O00626
24437-6,A6XGL0
2870-29,P63000
21804-15,Q5JSQ8
3344-60,P01008
9204-33,P01189
9377-25,P21583
24951-3,Q08AM6
4559-64,Q16719
3217-74,P07093
18429-10,P12830
2631-50,Q08334
4834-61,P29317
3305-6,Q9NR61
11140-56,P02452
4560-34,P06239
2962-50,P12272
3035-80,Q9UHD0
10949-59,P05387
5343-74,P16870
11338-49,P51451
14085-28,P35225
26126-8,Q9UJZ1
4985-11,Q01469
9188-119,Q07325
10636-1,Q8TD46
7735-17,P36955
9778-45,Q4KMG9
2775-54,Q96PD4
19491-11,Q92506
11838-130,Q92508
12518-289,Q86U86
4146-58,P34130
