"","Protein","p_value","FDR","OverexpressedAt","emmean"
"217","Q12778",0.000180928092158118,0.00124699460612721,"D3",11.3420980277602
"218","P43652",0.000180210418837136,0.00124699460612721,"D1",15.3049856486096
"219","Q8IZP7",0.000189723199228066,0.00129947396731552,"D1",9.92637956377021
"220","P01031",0.000195695898377991,0.0013284033212683,"D3",15.4475075140567
"221","Q96KQ7",0.00019571808933353,0.0013284033212683,"D5",10.3233064260078
"222","Q92854",0.000202875065381669,0.00137077746879506,"D5",10.869028253714
"223","P20827",0.000204126289494497,0.00137304679032173,"D1",11.9530456975021
"224","Q86WK6",0.00020987672243905,0.00140542448061864,"D5",8.22629957167505
"225","O43586",0.000210829081575306,0.00140552721050204,"D1",9.4541751714319
"226","P59901",0.00021268704929398,0.0014116397077034,"D5",10.9875270970093
"227","O75882",0.000216554736684735,0.00143097843624274,"D5",10.1731179537838
"228","Q8N8N7",0.000237571985448011,0.00156297358847376,"D2",11.4462403107855
"229","P99999",0.000242265949425549,0.00158689486523286,"D5",10.3989817343974
"230","Q969J5",0.000243495308970501,0.00158801288459022,"D4",11.2463761997725
"231","Q13449",0.000251725637229833,0.00163458205993398,"D5",9.89490580193928
"232","P01024.3",0.000257102583749535,0.00166230118803579,"D2",12.1424357682967
"233","Q9H2A7",0.000270239473205894,0.00171878048147182,"D1",12.1161292013102
"234","Q02223",0.000268660594134429,0.00171878048147182,"D5",11.8571584491711
"235","P78423",0.00026959138434994,0.00171878048147182,"D3",11.0871377918395
"236","Q92859",0.000270421462418233,0.00171878048147182,"D5",11.8280794752782
"237","P06681",0.000276210238461371,0.00173353706147304,"D2",13.077613264915
"238","P04745",0.000275378613829875,0.00173353706147304,"D5",10.9868231716315
"239","P09874.1",0.000274509526862669,0.00173353706147304,"D1",8.8081349887588
"240","Q9UK85",0.000279832451355121,0.00174895282096951,"D4",8.95848168825664
"241","P50452",0.000281913307524445,0.00175464714226833,"D1",10.6801717931801
"242","P00734.1",0.00028445723116652,0.00176316465599083,"D1",10.8293910103328
"243","Q8NFY4",0.000290287465759483,0.00179189793678693,"D5",10.1070283258181
"244","Q86U17",0.000301827065592009,0.00185549425568858,"D2",14.2320516629166
"245","P53999",0.000313572065224167,0.00191982897076021,"D1",9.7725782020034
"246","P07333",0.00032004173187537,0.00193573628150425,"D3",12.2830622333539
"247","P02647",0.000319969068840123,0.00193573628150425,"D5",13.0284160833402
"248","P01042",0.000317466077017457,0.00193573628150425,"D1",17.7876983541248
"249","P00746",0.000329262755697648,0.00198281724273572,"D5",14.8452245569665
"250","Q99983",0.000330469540455953,0.00198281724273572,"D5",13.2949950772648
"251","P17213",0.000337651180190949,0.00201783573819292,"D1",13.2565205357314
"252","Q9H3U7",0.000348016579020198,0.00207152725607261,"D5",11.6199307075949
"253","P13591",0.00035212142105745,0.00208767640943152,"D5",15.1327490565259
